work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2022,Data Engineer  ,,,-142296,174973,DE,,FL,Hybrid,DE,
2021,Data Analyst  ,Data Science,GBP,115094,120374,CN,MI,PT,Hybrid,UK,S
2022,Data Engineer  ,Data Science,us dolars,117905,183669,IN,MI,FL,Hybrid,JP,S
2021,Data Analyst  in office,Analysis,EUR,55407,194500,MX,EN,PT,Remote,CN,L
2021,Machine Learning Engineer  ,,,-92552,196759,IN,,CT,In-person,CN,
2022,Data Scientist  ,ML/AI,EUR,197011,59493,US,MI,PT,Remote,UK,L
2021,Data Engineer  ,ML/AI,JPY,122303,155074,CN,EX,FL,In-person,JP,M
2022,Data Engineer  ,Analysis,GBP,187242,81224,UK,MI,FT,In-person,IN,M
2022,Data Engineer  ,Engineering,JPY,101908,61852,US,EX,CT,In-person,IN,S
2020,Data Analyst  ,Engineering,EUR,154506,40932,DE,EN,FL,In-person,US,S
2022,Machine Learning Engineer  ,ML/AI,INR,52369,118545,DE,EX,FL,Remote,MX,M
2020,Data Engineer  ,ML/AI,JPY,35900,63583,JP,SE,FL,In-person,UK,M
2022,Data Engineer  in office,Analysis,INR,70733,59865,US,EN,CT,Hybrid,UK,S
2022,Data Scientist  (Remote),Engineering,EUR,117236,173361,CN,EN,FT,Hybrid,IN,S
2020,Data Scientist  in office,,,161661,100270,US,,FT,In-person,IN,
2020,Machine Learning Engineer  in office,Data Science,INR,90044,115549,US,EN,FT,Hybrid,IN,S
2022,Machine Learning Engineer  ,Data Science,EUR,115553,196593,US,EN,FL,Hybrid,CN,S
2021,Statistician  ,Data Science,INR,118435,167577,IN,EX,PT,In-person,CN,L
2020,Data Scientist  ,Analysis,JPY,79008,160768,JP,MI,FL,In-person,US,L
2021,Statistician  ,ML/AI,EUR,96794,74327,MX,SE,FT,In-person,US,L
2021,Data Analyst  (Remote),Analysis,JPY,109134,143209,UK,MI,CT,Remote,DE,S
2021,Statistician  (Remote),Engineering,us dolars,163938,144889,UK,SE,PT,In-person,CN,M
2020,Data Engineer  in office,ML/AI,EUR,82890,48409,UK,EX,PT,In-person,UK,M
2021,Statistician  (Remote),Data Science,INR,145259,180589,IN,EN,FL,Remote,US,S
2020,Machine Learning Engineer  in office,Analysis,us dolars,59404,74533,JP,EN,CT,Hybrid,JP,L
2021,Data Analyst  ,Analysis,JPY,95223,191547,CN,MI,PT,Remote,UK,M
2022,Data Engineer  in office,Data Science,JPY,30637,45327,JP,MI,FT,Hybrid,DE,S
2022,Statistician  in office,Analysis,INR,133186,85344,IN,MI,FL,Remote,IN,L
2020,Data Analyst  (Remote),Data Science,us dolars,45828,33671,CN,EN,FL,In-person,DE,L
2022,Data Analyst  in office,Engineering,GBP,131976,121908,US,EN,FT,Remote,UK,L
2022,Data Engineer  ,ML/AI,INR,75097,80756,DE,EX,FT,In-person,IN,L
2021,Statistician  ,Engineering,JPY,143271,189152,US,SE,FT,Hybrid,DE,L
2020,Data Analyst  ,Engineering,EUR,62022,54544,UK,MI,PT,In-person,DE,L
2021,Data Analyst  ,Data Science,us dolars,62202,106347,US,EN,CT,Remote,UK,L
2021,Data Scientist  (Remote),Analysis,GBP,58704,48733,IN,SE,PT,Remote,US,L
2021,Data Analyst  in office,Engineering,EUR,121411,78093,UK,MI,CT,Hybrid,JP,L
2021,Data Scientist  in office,,,-159688,135424,DE,,FL,In-person,DE,
2021,Statistician  in office,Engineering,INR,53641,125595,CN,SE,CT,Hybrid,JP,S
2021,Statistician  in office,Analysis,INR,67479,67487,CN,SE,FT,In-person,CN,M
2021,Statistician  ,Analysis,us dolars,52027,150931,UK,SE,PT,In-person,CN,S
2020,Machine Learning Engineer  (Remote),,,72912,70849,MX,,FT,Hybrid,UK,
2022,Statistician  in office,Engineering,us dolars,138227,175622,MX,EX,FL,Hybrid,MX,S
2021,Data Analyst  in office,ML/AI,EUR,158773,106400,US,MI,PT,In-person,UK,M
2021,Data Engineer  (Remote),Analysis,EUR,139658,159120,MX,MI,PT,Hybrid,MX,M
2021,Data Scientist  in office,Data Science,INR,72692,120930,JP,SE,FT,In-person,MX,M
2021,Machine Learning Engineer  (Remote),Engineering,us dolars,128884,79699,JP,EN,PT,Hybrid,MX,S
2021,Statistician  in office,ML/AI,INR,62209,120470,CN,SE,FT,Hybrid,US,M
2021,Statistician  (Remote),Analysis,GBP,86738,174779,JP,EN,CT,Hybrid,MX,L
2022,Data Engineer  in office,ML/AI,EUR,67242,162996,UK,EX,FL,Remote,IN,M
2022,Data Engineer  ,Analysis,JPY,171013,125023,JP,MI,FT,Hybrid,JP,S
2021,Machine Learning Engineer  in office,,,-168145,59018,IN,,FL,Remote,DE,
2022,Data Scientist  ,,,137966,51031,CN,,PT,In-person,IN,
2020,Statistician  (Remote),Engineering,us dolars,198899,134985,DE,EX,FL,In-person,CN,M
2021,Machine Learning Engineer  ,Engineering,JPY,198168,98237,JP,EX,FL,Hybrid,CN,S
2020,Data Analyst  in office,Analysis,us dolars,96457,138426,IN,MI,FL,Remote,JP,M
2020,Data Analyst  ,,,-159257,46719,IN,,PT,In-person,JP,
2021,Machine Learning Engineer  ,ML/AI,GBP,98309,39718,UK,SE,CT,Remote,MX,L
2022,Statistician  in office,Data Science,GBP,116496,30056,CN,EN,CT,Remote,IN,S
2020,Machine Learning Engineer  (Remote),Analysis,INR,191340,176424,UK,MI,CT,In-person,IN,M
2021,Statistician  ,ML/AI,EUR,140078,151743,DE,EX,FT,Remote,US,L
2020,Data Engineer  in office,Analysis,us dolars,31865,77820,DE,EX,FT,Remote,DE,L
2020,Machine Learning Engineer  ,,,126242,98683,US,,PT,In-person,DE,
2020,Statistician  (Remote),Analysis,INR,58887,99073,DE,EX,CT,Hybrid,DE,L
2020,Machine Learning Engineer  (Remote),Engineering,INR,126047,30721,CN,EN,FL,Hybrid,MX,S
2022,Machine Learning Engineer  (Remote),,,194551,70194,MX,,CT,Remote,CN,
2020,Statistician  ,Analysis,us dolars,158863,109882,MX,EX,FT,Hybrid,CN,L
2020,Statistician  in office,Data Science,EUR,70478,171983,CN,MI,PT,In-person,IN,S
2020,Data Scientist  (Remote),Data Science,INR,187473,181944,UK,EN,CT,In-person,US,S
2022,Machine Learning Engineer  in office,Engineering,EUR,189574,103072,IN,EN,FT,In-person,UK,M
2020,Data Analyst  (Remote),Data Science,us dolars,141750,153919,US,SE,FT,Remote,US,L
2020,Machine Learning Engineer  ,Analysis,JPY,43394,115968,MX,EN,FL,In-person,CN,M
2022,Machine Learning Engineer  ,,,-170334,137251,MX,,CT,Remote,MX,
2022,Statistician  (Remote),Analysis,us dolars,34487,74537,DE,MI,FL,Remote,IN,S
2022,Machine Learning Engineer  in office,Engineering,INR,188413,139254,IN,EX,CT,In-person,US,L
2020,Machine Learning Engineer  in office,Engineering,JPY,138924,177932,UK,EN,PT,In-person,IN,S
2022,Data Analyst  (Remote),Engineering,INR,174642,191815,JP,SE,CT,Remote,JP,L
2022,Statistician  ,Data Science,JPY,87268,102941,US,EN,FL,In-person,JP,S
2020,Machine Learning Engineer  in office,,,-59605,193277,CN,,FL,Hybrid,UK,
2022,Data Engineer  in office,ML/AI,JPY,101602,47645,IN,SE,FT,Remote,CN,M
2020,Data Scientist  ,Analysis,INR,187795,142661,UK,SE,CT,Remote,MX,L
2021,Data Analyst  in office,,,108206,101473,UK,,CT,In-person,JP,
2022,Machine Learning Engineer  (Remote),Analysis,INR,123375,80734,US,MI,PT,In-person,UK,S
2021,Data Engineer  ,Engineering,EUR,123937,191503,US,SE,FT,Remote,DE,L
2020,Machine Learning Engineer  (Remote),ML/AI,EUR,86921,157705,DE,EX,FL,Remote,IN,L
2022,Machine Learning Engineer  ,Analysis,us dolars,90760,90914,DE,MI,CT,Remote,MX,L
2020,Statistician  (Remote),Data Science,EUR,171321,47882,CN,EX,FT,In-person,DE,L
2021,Statistician  (Remote),Data Science,GBP,97847,120860,CN,EX,PT,Remote,DE,M
2020,Statistician  (Remote),Analysis,EUR,127547,174051,US,MI,FT,Hybrid,UK,S
2022,Data Engineer  in office,Engineering,INR,73839,130513,US,EN,CT,Hybrid,IN,L
2022,Machine Learning Engineer  in office,ML/AI,EUR,69673,148751,IN,EX,CT,In-person,UK,S
2021,Data Scientist  (Remote),Analysis,INR,33642,74828,DE,MI,PT,Remote,US,M
2020,Data Analyst  (Remote),Data Science,INR,167410,168300,UK,EX,PT,Remote,DE,M
2022,Statistician  ,ML/AI,GBP,81761,150354,MX,SE,PT,Hybrid,IN,L
2021,Statistician  in office,Data Science,EUR,39622,104217,MX,EX,FL,Remote,DE,S
2022,Machine Learning Engineer  (Remote),Data Science,EUR,78423,136500,MX,EX,FT,In-person,US,S
2022,Machine Learning Engineer  in office,Analysis,JPY,72873,103803,DE,EX,FT,In-person,CN,S
2020,Data Engineer  ,Data Science,JPY,77565,100908,DE,SE,FT,In-person,US,M
2022,Data Engineer  (Remote),ML/AI,us dolars,168878,68918,US,EX,FL,Remote,CN,M
2020,Statistician  in office,Engineering,INR,30757,171992,MX,MI,FT,Remote,IN,L
2022,Machine Learning Engineer  ,Analysis,GBP,182542,57785,US,EX,PT,Hybrid,IN,S
2021,Data Scientist  (Remote),ML/AI,JPY,36220,112757,DE,MI,FT,Hybrid,MX,S
2022,Data Analyst  in office,Analysis,EUR,138408,186250,JP,EX,FL,In-person,US,M
2020,Machine Learning Engineer  ,Data Science,us dolars,121851,129490,JP,EX,FL,Remote,DE,L
2020,Machine Learning Engineer  ,,,123329,101997,CN,,FT,Remote,JP,
2021,Data Engineer  in office,ML/AI,EUR,157636,139768,DE,EN,FL,In-person,DE,L
2022,Data Analyst  (Remote),ML/AI,EUR,183577,44052,MX,EN,FL,In-person,JP,M
2022,Statistician  in office,Engineering,INR,58288,79383,JP,SE,FT,Hybrid,UK,S
2021,Machine Learning Engineer  ,ML/AI,INR,104492,161399,CN,MI,FL,Hybrid,IN,L
2022,Statistician  ,ML/AI,JPY,49109,118301,CN,SE,FL,In-person,US,L
2022,Machine Learning Engineer  (Remote),Analysis,JPY,164569,100775,DE,MI,FT,Remote,UK,S
2020,Statistician  in office,Data Science,EUR,87326,105614,CN,SE,PT,Hybrid,DE,L
2022,Data Analyst  (Remote),ML/AI,EUR,39864,168110,US,SE,PT,In-person,JP,M
2022,Data Engineer  (Remote),Engineering,JPY,117562,38048,US,EX,FL,Remote,CN,L
2021,Data Analyst  ,ML/AI,JPY,104310,44954,US,EX,CT,In-person,IN,S
2021,Data Scientist  in office,Data Science,EUR,149454,142010,UK,EX,CT,Remote,JP,M
2020,Data Engineer  in office,,,-51017,43225,US,,FT,Hybrid,DE,
2022,Data Analyst  ,Analysis,EUR,162893,135622,MX,EX,FT,Remote,MX,S
2022,Data Scientist  ,Data Science,GBP,80337,174603,US,SE,PT,Remote,DE,S
2022,Machine Learning Engineer  in office,ML/AI,GBP,113557,39530,DE,MI,CT,In-person,US,S
2020,Machine Learning Engineer  (Remote),Analysis,EUR,40372,54791,JP,EN,FT,Remote,UK,S
2020,Statistician  (Remote),,,130050,135806,MX,,CT,Hybrid,IN,
2021,Data Engineer  in office,ML/AI,JPY,123938,162721,JP,MI,CT,In-person,US,L
2020,Machine Learning Engineer  (Remote),,,-101333,174544,US,,FL,In-person,JP,
2022,Data Engineer  (Remote),Engineering,EUR,46283,120721,US,SE,FL,In-person,MX,M
2022,Machine Learning Engineer  ,Analysis,GBP,70857,57134,US,MI,CT,In-person,UK,S
2020,Statistician  (Remote),Engineering,EUR,81772,173516,CN,MI,PT,In-person,IN,S
2022,Data Analyst  ,ML/AI,JPY,125856,159326,DE,EN,FT,In-person,JP,M
2022,Statistician  (Remote),Analysis,GBP,192333,68217,DE,EN,FT,In-person,IN,L
2020,Data Scientist  in office,,,-36107,183138,DE,,PT,Hybrid,IN,
2020,Machine Learning Engineer  ,Data Science,INR,65561,161067,JP,EX,FL,Hybrid,CN,L
2022,Data Scientist  in office,Analysis,INR,196340,66189,MX,MI,FL,In-person,CN,S
2022,Data Scientist  ,ML/AI,us dolars,192680,148903,MX,EX,PT,Remote,MX,M
2022,Data Engineer  (Remote),Data Science,GBP,43138,196561,UK,EN,PT,In-person,UK,M
2021,Machine Learning Engineer  in office,Engineering,GBP,198765,57284,JP,MI,FL,In-person,CN,M
2021,Data Scientist  ,Analysis,us dolars,154143,54698,DE,EX,CT,In-person,JP,L
2021,Data Analyst  in office,Analysis,GBP,182320,49637,IN,SE,FL,Remote,CN,M
2020,Data Scientist  in office,ML/AI,us dolars,48632,90405,UK,SE,CT,Hybrid,MX,M
2021,Data Analyst  (Remote),Data Science,EUR,77547,91305,US,SE,FT,Remote,MX,L
2020,Data Engineer  ,Analysis,JPY,42100,63556,CN,MI,FT,Remote,US,S
2020,Data Scientist  (Remote),,,-77930,112176,JP,,CT,Remote,US,
2021,Statistician  in office,Data Science,us dolars,83025,150644,CN,MI,CT,Remote,US,L
2021,Data Engineer  ,Analysis,us dolars,108944,127012,UK,MI,FL,In-person,MX,M
2021,Data Analyst  in office,Data Science,us dolars,180441,33654,MX,MI,PT,Hybrid,IN,S
2022,Data Engineer  in office,Data Science,EUR,179532,70428,IN,EX,CT,Remote,DE,S
2021,Data Scientist  ,Data Science,us dolars,121641,159814,UK,EX,FT,Hybrid,UK,S
2022,Machine Learning Engineer  in office,ML/AI,JPY,126920,199108,JP,SE,FL,In-person,US,L
2020,Machine Learning Engineer  ,Data Science,JPY,162533,125379,DE,EX,FT,In-person,UK,S
2022,Data Analyst  ,Data Science,INR,72362,95355,US,EX,FL,Hybrid,CN,M
2021,Data Analyst  ,,,58610,76257,DE,,PT,In-person,IN,
2020,Machine Learning Engineer  in office,Engineering,JPY,134334,143435,DE,SE,PT,Hybrid,UK,L
2020,Data Analyst  (Remote),,,-182067,135866,JP,,FT,Remote,US,
2020,Data Engineer  in office,Data Science,GBP,37717,177059,DE,SE,CT,In-person,US,M
2022,Statistician  in office,Engineering,GBP,94022,181882,DE,EX,CT,In-person,MX,L
2021,Statistician  ,Engineering,us dolars,81645,50311,JP,MI,FT,Hybrid,IN,S
2020,Data Engineer  (Remote),Analysis,us dolars,59550,142695,JP,SE,CT,In-person,IN,M
2020,Statistician  ,Data Science,GBP,164648,84478,IN,EN,CT,Remote,JP,M
2020,Data Scientist  in office,Engineering,INR,70868,195992,DE,EX,FT,In-person,IN,L
2022,Data Engineer  (Remote),ML/AI,INR,128039,38738,UK,EN,FT,In-person,DE,S
2022,Data Analyst  ,Analysis,us dolars,166800,103424,MX,EN,PT,In-person,DE,M
2021,Data Engineer  in office,Analysis,GBP,62800,92232,US,EX,FT,Hybrid,US,L
2022,Machine Learning Engineer  in office,Data Science,INR,40886,138400,CN,EN,PT,Remote,CN,L
2020,Data Analyst  (Remote),Data Science,us dolars,75805,35474,US,EX,PT,Remote,IN,L
2021,Machine Learning Engineer  in office,Analysis,GBP,62532,89026,JP,EN,FL,In-person,DE,L
2020,Data Analyst  in office,ML/AI,EUR,142765,96024,CN,MI,CT,In-person,MX,L
2020,Statistician  in office,Data Science,GBP,58688,80974,JP,SE,FT,Hybrid,DE,M
2022,Data Engineer  in office,Data Science,GBP,172135,185216,MX,MI,CT,Remote,MX,L
2021,Data Scientist  (Remote),Analysis,JPY,53089,35622,MX,MI,FL,In-person,JP,S
2022,Data Analyst  in office,Analysis,JPY,63585,127366,IN,EN,FT,Remote,CN,S
2022,Data Analyst  in office,Data Science,EUR,32438,69214,DE,SE,FT,In-person,MX,M
2021,Machine Learning Engineer  in office,Engineering,EUR,123095,123184,JP,SE,FL,In-person,CN,L
2020,Statistician  (Remote),,,-184284,128233,MX,,CT,Hybrid,IN,
2020,Machine Learning Engineer  (Remote),Engineering,INR,178055,186295,JP,EN,PT,Remote,JP,M
2021,Machine Learning Engineer  ,Analysis,EUR,44026,51865,US,MI,FL,Remote,CN,L
2020,Statistician  (Remote),Engineering,GBP,150168,73026,DE,EX,FL,In-person,CN,L
2021,Data Scientist  in office,ML/AI,us dolars,80998,119037,IN,EX,FT,In-person,MX,S
2021,Machine Learning Engineer  (Remote),Analysis,JPY,87013,187938,MX,EX,PT,Hybrid,UK,L
2022,Machine Learning Engineer  (Remote),Data Science,INR,81039,173488,JP,SE,FL,In-person,JP,M
2021,Data Analyst  (Remote),Data Science,GBP,195675,55775,JP,EX,CT,Remote,CN,S
2022,Statistician  in office,Analysis,us dolars,136446,190152,JP,MI,FL,Hybrid,UK,M
2020,Data Engineer  ,Analysis,JPY,128452,49374,US,EX,CT,Remote,UK,M
2020,Data Scientist  ,ML/AI,us dolars,174177,88451,MX,SE,FT,Hybrid,CN,L
2020,Data Scientist  ,,,97182,112141,JP,,FL,Remote,MX,
2020,Statistician  ,Data Science,EUR,82147,45684,JP,EX,CT,In-person,IN,S
2022,Data Analyst  (Remote),ML/AI,JPY,105400,54002,US,SE,FT,Remote,UK,M
2020,Data Analyst  ,Data Science,us dolars,76434,121551,JP,EX,FT,Remote,UK,M
2021,Statistician  (Remote),Engineering,EUR,56515,160704,DE,SE,FT,Hybrid,JP,L
2021,Data Analyst  (Remote),Analysis,INR,88001,184044,DE,EN,FL,Remote,IN,M
2021,Data Scientist  ,Engineering,GBP,178032,36309,US,EN,FT,In-person,MX,M
2022,Data Scientist  in office,Data Science,GBP,139591,114675,DE,MI,FT,Hybrid,IN,M
2020,Data Engineer  ,Engineering,JPY,75778,98326,CN,EN,CT,Hybrid,UK,M
2020,Statistician  ,,,192013,37826,CN,,FT,Remote,MX,
2020,Machine Learning Engineer  (Remote),Data Science,INR,125849,173206,CN,SE,FL,Hybrid,JP,S
2022,Machine Learning Engineer  (Remote),,,133083,180765,IN,,PT,In-person,JP,
2021,Data Engineer  ,Analysis,JPY,131276,151840,JP,EX,FT,Remote,JP,M
2021,Data Engineer  ,Engineering,us dolars,86908,165126,IN,EX,FL,In-person,JP,S
2020,Data Analyst  in office,ML/AI,INR,179501,177162,DE,MI,FT,Remote,US,L
2021,Data Engineer  in office,ML/AI,us dolars,124048,135985,US,MI,FL,Remote,MX,L
2021,Data Engineer  in office,Data Science,GBP,175919,45569,CN,EX,FT,Hybrid,CN,S
2022,Machine Learning Engineer  (Remote),,,-64256,193299,US,,CT,Hybrid,UK,
2022,Data Analyst  in office,,,-157025,36508,IN,,PT,Hybrid,UK,
2022,Data Engineer  (Remote),Data Science,GBP,189846,177680,DE,SE,PT,Remote,UK,M
2022,Data Engineer  (Remote),,,-157343,119059,MX,,FL,Hybrid,IN,
2020,Data Analyst  ,Analysis,GBP,39127,127475,JP,EX,FL,In-person,MX,S
2022,Statistician  in office,Analysis,INR,148251,160447,MX,EN,PT,Hybrid,IN,M
2021,Data Analyst  ,Engineering,GBP,189277,160819,DE,EX,CT,In-person,JP,S
2020,Machine Learning Engineer  ,Analysis,INR,111163,140648,CN,SE,CT,Hybrid,CN,L
2021,Statistician  (Remote),Data Science,us dolars,148279,54520,DE,EX,FT,Remote,MX,M
2021,Data Scientist  in office,Data Science,JPY,131824,60932,US,SE,CT,Hybrid,IN,L
2021,Data Analyst  ,Data Science,INR,68664,49734,UK,EN,PT,In-person,DE,M
2022,Machine Learning Engineer  (Remote),Data Science,GBP,86795,99363,CN,MI,PT,In-person,MX,M
2022,Statistician  ,Engineering,JPY,151729,80555,MX,EN,CT,Hybrid,UK,M
2020,Data Analyst  in office,,,-193405,46257,JP,,CT,In-person,UK,
2020,Data Engineer  (Remote),ML/AI,INR,66079,193266,CN,MI,PT,Remote,US,L
2022,Data Analyst  in office,Analysis,INR,114225,177865,CN,MI,PT,Hybrid,US,S
2021,Data Scientist  ,Data Science,EUR,54259,195756,JP,EX,PT,In-person,DE,S
2020,Data Analyst  (Remote),ML/AI,EUR,56571,123550,MX,EN,PT,Hybrid,US,L
2022,Statistician  ,Engineering,JPY,81119,83219,CN,SE,PT,Hybrid,CN,L
2022,Statistician  ,Data Science,EUR,38009,163931,US,SE,CT,Hybrid,JP,S
2022,Data Analyst  in office,Data Science,GBP,140210,69840,DE,MI,CT,Hybrid,JP,S
2021,Statistician  (Remote),,,-91829,127392,US,,FT,Hybrid,MX,
2022,Data Engineer  ,Engineering,JPY,68230,89327,DE,SE,FT,Remote,UK,L
2022,Data Analyst  in office,ML/AI,us dolars,141364,143827,UK,EX,FL,Hybrid,JP,S
2022,Data Engineer  in office,Engineering,EUR,86049,64819,CN,MI,FT,Remote,US,L
2022,Data Engineer  (Remote),,,131762,115621,UK,,CT,Hybrid,DE,
2020,Machine Learning Engineer  ,Analysis,JPY,153273,131272,IN,MI,FT,In-person,CN,L
2020,Data Analyst  (Remote),,,149466,71704,MX,,FT,Hybrid,JP,
2022,Statistician  (Remote),Analysis,GBP,197570,90379,DE,SE,CT,Hybrid,UK,M
2021,Data Engineer  ,Analysis,JPY,149053,185390,US,EN,PT,In-person,UK,M
2020,Machine Learning Engineer  (Remote),Engineering,JPY,189892,110987,US,EX,CT,Remote,CN,L
2022,Data Analyst  (Remote),ML/AI,INR,125018,141561,CN,MI,CT,Remote,US,L
2020,Data Analyst  (Remote),Engineering,JPY,62795,35274,US,EN,FL,Remote,JP,M
2020,Data Scientist  in office,Data Science,INR,143812,179298,IN,EN,FL,Remote,US,L
2021,Data Scientist  ,ML/AI,EUR,115411,126462,JP,EN,FL,In-person,UK,L
2022,Data Engineer  (Remote),Analysis,GBP,69191,49046,US,EN,PT,Remote,DE,M
2022,Data Scientist  in office,Analysis,GBP,42453,104210,CN,EN,FT,Remote,JP,S
2021,Data Engineer  in office,Data Science,JPY,150848,148724,UK,MI,FL,Remote,MX,L
2021,Statistician  (Remote),ML/AI,JPY,144165,182982,MX,SE,CT,Remote,DE,L
2022,Data Engineer  ,Data Science,EUR,79993,172575,US,EN,FL,Remote,CN,S
2022,Data Scientist  in office,Data Science,INR,140780,78392,US,SE,CT,Hybrid,JP,S
2021,Statistician  (Remote),Engineering,GBP,75706,91472,US,SE,PT,Hybrid,UK,L
2020,Data Scientist  ,Data Science,INR,121434,100904,CN,EX,FL,Remote,JP,L
2020,Data Engineer  ,ML/AI,EUR,80799,119063,MX,MI,CT,In-person,UK,S
2021,Machine Learning Engineer  (Remote),Data Science,GBP,149586,75335,JP,EN,FT,In-person,IN,L
2020,Data Analyst  in office,ML/AI,GBP,90964,52487,US,SE,PT,Hybrid,UK,S
2021,Data Scientist  ,Analysis,us dolars,127379,66593,JP,EX,CT,In-person,UK,S
2020,Data Engineer  ,Data Science,EUR,139987,105927,JP,SE,FT,Hybrid,CN,L
2020,Statistician  ,ML/AI,EUR,91926,39874,MX,EN,FT,Remote,JP,L
2022,Data Scientist  ,Analysis,us dolars,33801,84822,MX,MI,CT,Remote,DE,S
2022,Data Scientist  in office,ML/AI,INR,70144,83948,IN,MI,FL,In-person,UK,L
2020,Data Analyst  in office,Analysis,us dolars,124478,33608,UK,EN,FT,In-person,JP,S
2020,Data Engineer  (Remote),,,-171220,125987,US,,PT,In-person,UK,
2022,Machine Learning Engineer  (Remote),Data Science,INR,142364,135182,US,EX,FT,Remote,US,M
2022,Statistician  in office,Data Science,GBP,112819,57546,US,MI,FL,Remote,US,S
2022,Data Engineer  (Remote),Analysis,us dolars,180933,145999,JP,MI,PT,In-person,US,S
2021,Statistician  ,Engineering,INR,183552,130804,MX,SE,PT,In-person,US,L
2020,Data Scientist  in office,ML/AI,INR,48637,92496,DE,SE,PT,In-person,DE,S
2022,Data Analyst  ,Engineering,INR,74621,85186,UK,SE,CT,In-person,CN,S
2020,Data Analyst  in office,ML/AI,us dolars,77431,166302,CN,EX,FT,Hybrid,UK,L
2021,Machine Learning Engineer  in office,,,129937,55720,US,,FL,In-person,US,
2021,Data Analyst  (Remote),Data Science,INR,86172,73023,DE,EX,CT,In-person,JP,M
2022,Data Scientist  in office,Analysis,us dolars,55437,198674,DE,EN,CT,Hybrid,US,S
2021,Machine Learning Engineer  (Remote),,,169221,97082,MX,,PT,Hybrid,IN,
2020,Data Engineer  in office,Data Science,us dolars,175743,45050,DE,SE,CT,Hybrid,IN,M
2022,Data Analyst  ,Data Science,us dolars,53119,143353,UK,EX,FT,Hybrid,CN,S
2020,Machine Learning Engineer  ,ML/AI,us dolars,177351,82164,DE,EX,CT,In-person,DE,L
2020,Data Scientist  ,Data Science,INR,98835,158470,CN,EX,CT,Remote,MX,S
2021,Statistician  ,ML/AI,us dolars,165875,60134,US,MI,PT,Remote,IN,L
2021,Statistician  ,,,-90805,176712,CN,,PT,Remote,JP,
2021,Data Scientist  ,,,-48201,44284,US,,CT,Remote,US,
2021,Data Scientist  in office,ML/AI,EUR,58634,90526,IN,SE,PT,Remote,IN,L
2021,Statistician  (Remote),Engineering,JPY,175832,164495,JP,EN,FL,Remote,IN,L
2022,Machine Learning Engineer  in office,Data Science,us dolars,171898,58577,DE,EX,FL,Hybrid,DE,M
2020,Statistician  ,Data Science,INR,116821,151867,CN,EX,FL,Hybrid,IN,L
